Image,Scale,PSNR (dB),SSIM,FSIM
airplane,x2,27.2459,0.891,0.8112
airplane,x4,23.3806,0.7328,0.6672
baboon,x2,24.9949,0.7116,0.772
baboon,x4,22.5741,0.4972,0.5954
baby_set5,x2,34.3718,0.9407,0.8572
baby_set5,x4,29.4334,0.832,0.7198
barbara_set14,x2,30.9922,0.8422,0.7977
barbara_set14,x4,28.5232,0.725,0.6728
bird_set5,x2,32.8966,0.9593,0.897
bird_set5,x4,26.8605,0.8412,0.7784
butterfly_set5,x2,24.7821,0.8894,0.7983
butterfly_set5,x4,19.9615,0.7077,0.6611
coastguard_set14,x2,30.1446,0.9342,0.8513
coastguard_set14,x4,25.3351,0.8342,0.7333
comic_set14,x2,31.4735,0.8898,0.7983
comic_set14,x4,27.6603,0.7848,0.6741
face_set14,x2,27.2265,0.8215,0.8029
face_set14,x4,23.9237,0.6427,0.6543
flowers_set14,x2,30.1962,0.9472,0.8345
flowers_set14,x4,25.2546,0.8633,0.7133
foreman_set14,x2,29.8895,0.8858,0.827
foreman_set14,x4,26.5872,0.8031,0.7233
head_set5,x2,31.0205,0.8424,0.7969
head_set5,x4,28.5673,0.7271,0.6725
lenna_set14,x2,24.4065,0.9237,0.8561
lenna_set14,x4,19.9377,0.802,0.7464
peppers,x2,28.4263,0.9154,0.8442
peppers,x4,23.8378,0.7733,0.7323
woman_set5,x2,29.3262,0.9347,0.8667
woman_set5,x4,24.2212,0.8096,0.7503
